,city_name,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
142,Ulaangom,49.98,92.07,63.5,54,43,4.94,MN,1596671011
143,Taoudenni,22.68,-3.98,103.95,16,22,12.39,ML,1596671012
144,Chapais,49.78,-74.85,59.0,93,90,13.87,CA,1596671012
145,Mahibadhoo,3.78,72.97,82.38,80,100,15.19,MV,1596671012
146,Altamont,42.21,-121.74,78.01,52,75,26.4,US,1596671012
147,Fernie,49.5,-115.07,93.2,19,20,10.29,CA,1596671013
148,Mormugao,15.4,73.8,80.4,84,100,25.48,IN,1596671013
149,Puerto Ayora,-0.74,-90.35,68.0,92,87,4.0,EC,1596671014
150,Sikasso,10.92,-7.0,72.81,88,78,4.7,ML,1596671014
151,Maceió,-9.67,-35.74,71.6,94,75,14.99,BR,1596671014
152,Sibu,2.3,111.82,75.2,94,20,3.36,MY,1596671015
153,Pevek,69.7,170.31,34.99,96,100,5.46,RU,1596671015
154,College,64.86,-147.8,72.0,49,40,2.59,US,1596671015
155,Naze,28.37,129.48,87.8,74,40,6.93,JP,1596671015
156,Qaqortoq,60.72,-46.03,50.0,66,35,5.82,GL,1596671016
157,Saskylakh,71.92,114.08,64.94,69,87,11.59,RU,1596671016
158,Rawson,-43.3,-65.1,49.69,47,29,34.11,AR,1596670831
159,Yenagoa,4.92,6.26,72.9,84,38,4.92,NG,1596671016
160,Vanimo,-2.67,141.3,77.68,89,99,7.54,PG,1596671016
161,Yangi Marg`ilon,40.43,71.72,77.0,38,0,6.93,UZ,1596671017
162,Makakilo City,21.35,-158.09,89.6,46,75,9.17,US,1596671017
163,Vila Velha,-20.33,-40.29,68.0,93,67,2.24,BR,1596670818
164,Bandarbeyla,9.49,50.81,79.68,66,100,29.3,SO,1596671017
165,Pangnirtung,66.15,-65.71,49.19,83,100,3.42,CA,1596671018
166,Port Hedland,-20.32,118.57,62.6,48,74,10.29,AU,1596671018
167,Quelimane,-17.88,36.89,65.5,90,0,3.06,MZ,1596671018
168,New Norfolk,-42.78,147.06,45.0,71,32,4.0,AU,1596671018
169,Socorro,31.65,-106.3,102.2,14,75,11.41,US,1596671019
170,Aripuanã,-9.17,-60.63,79.59,40,0,1.83,BR,1596671019
171,Constitución,-35.33,-72.42,49.39,69,27,9.6,CL,1596671019
